AisleNumber,QuadNumber,Timestamp,RSSI,TCPUploadSpeed,TCPUploadQoS,TCPRoundTripTime
A1,B8,10/21/2024	10:19:57	AM,-89,23.91,72.7,51											
A1,B8,10/21/2024	10:19:35	AM,-92,22.67,74.7,53											
A1,B7,10/21/2024	10:19:08	AM,-94,13.35,81.6,52											
A1,B5,10/21/2024	10:18:46	AM,-94,15.09,82.8,47											
A1,B4,10/21/2024	10:18:27	AM,-96,11.74,81.9,49											
A1,B3,10/21/2024	10:18:06	AM,-99,13.69,80.4,57											
A4,B1,10/21/2024	10:11:37	AM,-96,13.74,76,49											
A4,B1,10/21/2024	10:11:19	AM,-97,15.01,82.1,41											
A4,B1,10/21/2024	10:10:56	AM,-96,12.51,69.3,46											
A4,B1,10/21/2024	10:10:34	AM,-94,12.25,76.7,49											
A4,B2,10/21/2024	10:10:12	AM,-93,14.01,58.8,47											
A4,B3,10/21/2024	10:09:51	AM,-93,15.09,68.4,51											
A4,B3,10/21/2024	10:09:28	AM,-95,13.19,84.3,56											
A4,B4,10/21/2024	10:09:06	AM,-92,15.11,85.4,51											
A4,B4,10/21/2024	10:08:47	AM,-103,12.46,63.1,55											
A4,B5,10/21/2024	10:08:21	AM,-88,16.04,55.7,51											
A4,B6,10/21/2024	10:07:59	AM,-87,16.65,58.5,49											
A4,B6,10/21/2024	10:07:38	AM,-81,17.24,60.9,55											
A4,B7,10/21/2024	10:07:19	AM,-89,12.33,60.6,60											
A4,B8,10/21/2024	10:06:57	AM,-89,9.55,66.1,51											
A5,B8,10/21/2024	10:05:25	AM,-81,20.67,49.1,61											
A5,B8,10/21/2024	10:04:58	AM,-77,24.65,54.1,55											
A5,B8,10/21/2024	10:04:36	AM,-82,29.14,69.4,55											
A5,B8,10/21/2024	10:04:09	AM,-78,26.29,68,47											
A5,B8,10/21/2024	10:03:48	AM,-78,26.48,59.7,54											
A5,B8,10/21/2024	10:02:20	AM,-87,25.46,84.8,52											
A5,B8,10/21/2024	10:02:00	AM,-80,20.05,40.1,57											
A5,B8,10/21/2024	10:01:39	AM,-90,24.87,68.5,47											
A5,B8,10/21/2024	10:01:19	AM,-78,23.49,59.1,49											
A5,B8,10/21/2024	10:00:56	AM,-88,20.98,54.6,50											
A5,B8,10/21/2024	10:00:36	AM,-89,14.92,48.6,53											
A5,B8,10/21/2024	10:00:11	AM,-91,17.9,84.1,51											
A5,B8,10/21/2024	9:59:51	AM,-95,15.5,69.1,49											
A5,B8,10/21/2024	9:59:28	AM,-92,19.79,89.2,50											
A5,B7,10/21/2024	9:59:06	AM,-95,15.54,89.4,54											
A5,B7,10/21/2024	9:58:43	AM,-93,17.34,73.3,53											
A5,B6,10/21/2024	9:58:25	AM,-97,14.77,80,54											
A5,B6,10/21/2024	9:58:04	AM,-97,9.28,66.8,53											
A5,B5,10/21/2024	9:57:44	AM,-95,14.66,76,46											
A5,B5,10/21/2024	9:57:23	AM,-94,15.7,83.5,65											
A5,B4,10/21/2024	9:57:01	AM,-93,13.38,78.1,55											
A5,B4,10/21/2024	9:56:34	AM,-87,18.02,66.3,61											
A5,B3,10/21/2024	9:56:14	AM,-80,34.19,72.2,54											
A5,B3,10/21/2024	9:55:55	AM,-85,22.63,58.9,64											
A5,B2,10/21/2024	9:55:37	AM,-91,15.27,78.6,50											
A5,B2,10/21/2024	9:55:16	AM,-86,15.9,65,54											
A5,B1,10/21/2024	9:54:56	AM,-88,13.43,83.6,55											
A5,B1,10/21/2024	9:54:36	AM,-89,20.23,75.6,58											
A6,B1,10/21/2024	9:54:15	AM,-87,21.08,58.5,52											
A6,B1,10/21/2024	9:53:55	AM,-92,22.22,70.2,49											
A6,B1,10/21/2024	9:53:36	AM,-81,21.89,54.7,51											
A6,B3,10/21/2024	9:53:11	AM,-87,27.31,41.6,57											
A6,B5,10/21/2024	9:52:51	AM,-93,14.9,83.4,60											
A6,B6,10/21/2024	9:52:31	AM,-96,16.56,81.3,54											
A6,B8,10/21/2024	9:52:08	AM,-96,12.93,76.8,55											
A7,B8,10/21/2024	9:51:45	AM,-100,9.47,82.3,56											
A7,B8,10/21/2024	9:51:23	AM,-99,11.25,84.6,59											
A7,B7,10/21/2024	9:51:00	AM,-97,15.78,82.5,51											
A7,B5,10/21/2024	9:50:38	AM,-95,16.76,82.5,53											
A7,B4,10/21/2024	9:50:19	AM,-93,11.06,68,51											
A7,B3,10/21/2024	9:49:59	AM,-83,32.01,53.7,52											
A8,B1,10/21/2024	9:48:18	AM,-96,27.32,53.1,47											
A8,B1,10/21/2024	9:48:00	AM,-88,20.21,83.9,50											
A8,B1,10/21/2024	9:47:39	AM,-78,34.08,63,45											
A8,B1,10/21/2024	9:47:21	AM,-77,31.4,61.7,51											
A8,B1,10/21/2024	9:47:01	AM,-90,24.72,72.1,55											
A8,B1,10/21/2024	9:46:38	AM,-80,35.48,76.5,50											
A8,B1,10/21/2024	9:46:20	AM,-85,27.88,53.2,47											
A8,B1,10/21/2024	9:45:59	AM,-83,27.79,58.2,48											
A8,B1,10/21/2024	9:45:33	AM,-88,29.02,71.5,49											
A8,B1,10/21/2024	9:45:10	AM,-93,20.7,86.5,50											
A8,B2,10/21/2024	9:44:50	AM,-94,18.9,77.4,54											
A8,B4,10/21/2024	9:44:27	AM,-93,22.32,88.9,52											
A8,B5,10/21/2024	9:44:09	AM,-95,17.09,92.1,52											
A8,B6,10/21/2024	9:43:48	AM,-97,16.4,91.5,60											
A8,B7,10/21/2024	9:43:26	AM,-98,13.73,62.5,54											
A8,B8,10/21/2024	9:43:03	AM,-93,21.88,70.3,53											
A8,B8,10/29/2024	12:03:00	PM,-102,7.93,88.7,51											
A8,B8,10/29/2024	12:02:33	PM,-100,8.31,77.7,54											
A8,B6,10/29/2024	12:01:09	PM,-98,9.98,73.2,50											
A8,B4,10/29/2024	12:00:43	PM,-95,8.55,65.3,50											
A8,B3,10/29/2024	12:00:16	PM,-97,12.66,85.8,48											
A8,B1,10/29/2024	11:59:50	AM,-94,14.43,72.5,51											
A7,B1,10/29/2024	11:59:27	AM,-91,16.6,73.9,55											
A7,B1,10/29/2024	11:59:00	AM,-92,18.83,75.5,49											
A7,B3,10/29/2024	11:58:30	AM,-95,14.16,64.7,59											
A7,B4,10/29/2024	11:58:03	AM,-95,12.09,80.9,55											
A7,B6,10/29/2024	11:57:39	AM,-96,8.86,86.2,52											
A7,B7,10/29/2024	11:57:14	AM,-98,11.9,62.9,61											
A6,B8,10/29/2024	11:56:49	AM,-100,7.21,62.1,56											
A6,B8,10/29/2024	11:56:25	AM,-100,8.6,89.9,50											
A6,B7,10/29/2024	11:55:58	AM,-102,8.68,69.3,54											
A6,B2,10/29/2024	11:54:34	AM,-90,13.1,61.3,56											
A6,B1,10/29/2024	11:54:08	AM,-91,18.46,74.7,52											
A5,B4,10/29/2024	11:52:39	AM,-95,12.19,76.8,53											
A5,B8,10/29/2024	11:51:18	AM,-95,10.96,29.3,49											
A4,B8,10/29/2024	11:50:47	AM,-98,9.41,86.2,57											
A4,B7,10/29/2024	11:50:23	AM,-98,9.42,91.7,55											
A4,B6,10/29/2024	11:49:58	AM,-95,11.63,76.1,54											
A4,B4,10/29/2024	11:49:33	AM,-94,10.54,71.3,49											
A4,B3,10/29/2024	11:49:09	AM,-93,12.57,67.4,52											
A4,B2,10/29/2024	11:48:42	AM,-88,14.68,61.9,47											
A3,B1,10/29/2024	11:48:20	AM,-88,15.42,72.2,57											
A3,B2,10/29/2024	11:47:51	AM,-83,16.77,72.7,54											
A3,B3,10/29/2024	11:47:27	AM,-86,16.39,42.4,122											
A3,B4,10/29/2024	11:47:00	AM,-91,12.7,74,51											
A3,B6,10/29/2024	11:46:33	AM,-94,12.34,63.1,60											
A2,B7,10/29/2024	11:45:09	AM,-100,8.84,75.6,51											
A2,B6,10/29/2024	11:44:47	AM,-98,9.79,81.6,52											
A2,B1,10/29/2024	11:43:19	AM,-90,16.23,76.2,52											
A1,B1,10/29/2024	11:42:56	AM,-82,14.08,66.8,61											
A1,B4,10/29/2024	11:41:34	AM,-93,12.16,74.3,50											
A1,B5,10/29/2024	11:41:12	AM,-96,13.76,70.6,51											
A1,B6,10/29/2024	11:40:49	AM,-97,12.81,81.3,54											
A1,B7,10/29/2024	11:40:27	AM,-98,11.89,92.9,49											
A1,B8,10/29/2024	11:40:04	AM,-99,15.28,65.3,52											
A1,B8,10/29/2024	11:39:40	AM,-96,10.04,80.8,53											
A1,B8,10/29/2024	11:39:13	AM,-96,13.13,95.2,50											
A1,B8,10/29/2024	11:38:43	AM,-96,14.35,90.2,55											
A1,B8,10/29/2024	11:38:16	AM,-96,12.09,84,53											
A1,B8,10/29/2024	11:37:49	AM,-97,11.72,74,54											
A1,B8,10/29/2024	11:37:23	AM,-97,10.14,69,50											
A1,B8,10/29/2024	11:36:56	AM,-97,11.71,80.4,53											
A1,B8,10/29/2024	11:35:20	AM,-101,8.72,74.1,51											
A1,B8,10/29/2024	11:34:23	AM,-98,13.7,86.6,53											
A8,B1,10/29/2024	11:34:00	AM,-99,11.43,69.1,53											
A8,B1,10/29/2024	11:33:21	AM,-96,10.14,67.3,53											
A8,B1,10/29/2024	11:32:40	AM,-97,13.41,71.1,54											
A8,B8,10/29/2024	11:30:09	AM,-81,18,74,50											
A7,B8,10/29/2024	11:29:28	AM,-90,20.4,79.5,49											
A7,B7,10/29/2024	11:27:11	AM,-94,17.94,60.9,49											
A7,B6,10/29/2024	11:26:50	AM,-94,11.15,41.2,54											
A7,B5,10/29/2024	11:26:23	AM,-95,11.58,64.4,60											
A7,B4,10/29/2024	11:25:59	AM,-95,12.2,87.3,50											
A7,B3,10/29/2024	11:25:22	AM,-98,11.98,79.8,46											
A7,B1,10/29/2024	11:23:15	AM,-100,9.42,67.6,49											
A6,B1,10/29/2024	11:22:48	AM,-97,10.73,82.9,49											
A6,B1,10/29/2024	11:22:14	AM,-98,10.55,84.5,53											
A6,B1,10/29/2024	11:20:49	AM,-96,10.4,49.2,63											
A6,B1,10/29/2024	11:20:19	AM,-96,7.44,61.8,57											
A6,B1,10/29/2024	11:18:55	AM,-86,11.11,56.6,54											
A6,B1,10/29/2024	11:18:28	AM,-88,13.87,52.9,49											
A6,B1,10/29/2024	11:17:51	AM,-92,16.77,62.3,52											
A5,B7,10/29/2024	11:16:29	AM,-88,17.61,80.8,53											
A5,B6,10/29/2024	11:16:05	AM,-91,16.52,73.2,51											
A5,B6,10/29/2024	11:15:44	AM,-93,12.98,65.1,59											
A5,B5,10/29/2024	11:15:14	AM,-95,12.76,68.4,53											
A5,B4,10/29/2024	11:14:49	AM,-94,12.46,84.6,52											
A5,B3,10/29/2024	11:14:17	AM,-98,11.94,87.9,52											
A5,B2,10/29/2024	11:13:46	AM,-97,11.68,75,47											
A5,B2,10/29/2024	11:13:23	AM,-99,9.13,75.2,57											
A5,B1,10/29/2024	11:12:57	AM,-101,11.03,88,52											
A4,B1,10/29/2024	11:12:30	AM,-97,9.02,61.2,48											
A4,B1,10/29/2024	11:11:49	AM,-97,10.93,78.4,48											
A4,B2,10/29/2024	11:11:24	AM,-97,11.41,64.7,58											
A4,B3,10/29/2024	11:10:48	AM,-96,9.25,68.6,53											
A4,B4,10/29/2024	11:10:17	AM,-96,6.86,77.3,53											
A4,B5,10/29/2024	11:09:50	AM,-95,8.65,70.4,53											
A4,B5,10/29/2024	11:09:24	AM,-96,11.04,51.4,52											
A4,B6,10/29/2024	11:09:01	AM,-93,10.25,68.3,47											
A4,B7,10/29/2024	11:08:34	AM,-89,9.58,77,53											
A4,B8,10/29/2024	11:07:58	AM,-88,12.07,78.5,54											
A3,B8,10/29/2024	11:06:36	AM,-89,12.02,70.2,48											
A3,B7,10/29/2024	11:06:09	AM,-87,15.2,59.8,56											
A3,B6,10/29/2024	11:05:42	AM,-91,10.72,71.3,49											
A3,B6,10/29/2024	11:05:16	AM,-98,9.34,80.3,51											
A3,B5,10/29/2024	11:04:49	AM,-98,7.57,69.4,54											
A3,B4,10/29/2024	11:04:22	AM,-97,7.26,83.9,52											
A3,B3,10/29/2024	11:03:58	AM,-103,7.83,88.4,53											
A3,B3,10/29/2024	11:03:27	AM,-100,5.51,77.2,51											
A3,B2,10/29/2024	11:03:03	AM,-101,5.44,70.5,53											
A3,B1,10/29/2024	11:02:38	AM,-100,7.35,85.1,48											
A2,B1,10/29/2024	11:02:11	AM,-101,9.84,87.3,65											
A2,B1,10/29/2024	11:01:47	AM,-98,11.39,82.5,49											
A2,B1,10/29/2024	11:01:24	AM,-97,11.6,81.4,54											
A2,B1,10/29/2024	11:01:00	AM,-97,15.6,86.4,53											
A2,B2,10/29/2024	11:00:37	AM,-96,15.11,79.6,54											
A2,B3,10/29/2024	11:00:00	AM,-95,16.34,89.4,52											
A2,B4,10/29/2024	10:59:34	AM,-95,16.37,82.6,49											
A2,B4,10/29/2024	10:59:11	AM,-95,15.31,72.8,46											
A2,B5,10/29/2024	10:58:49	AM,-93,15.75,90,54											
A2,B6,10/29/2024	10:58:01	AM,-80,21.28,74.4,57											
A1,B8,10/29/2024	10:56:39	AM,-91,21.83,53,50											
A1,B8,10/29/2024	10:56:17	AM,-89,25.46,66.6,50											
A1,B8,10/29/2024	10:55:42	AM,-92,19.04,71.9,50											
A1,B7,10/29/2024	10:55:17	AM,-89,19.56,66,50											
A1,B7,10/29/2024	10:54:51	AM,-96,14.95,83.4,55											
A1,B7,10/29/2024	10:54:26	AM,-95,12.81,85.9,57											
A1,B6,10/29/2024	10:54:02	AM,-97,14.11,87.7,52											
A1,B6,10/29/2024	10:53:35	AM,-98,14.29,92.4,49											
A1,B5,10/29/2024	10:53:08	AM,-99,13.6,75.3,57											
A1,B5,10/29/2024	10:52:46	AM,-100,9.2,79.8,51											
A1,B4,10/29/2024	10:52:19	AM,-98,13.18,91.8,53											
A1,B4,10/29/2024	10:51:53	AM,-98,13.36,87.1,51											
A1,B3,10/29/2024	10:51:03	AM,-100,11.25,87.7,51											
A1,B2,10/29/2024	10:50:39	AM,-99,12.86,83.5,49											
A1,B2,10/29/2024	10:50:18	AM,-98,11.75,75.7,57											
A1,B2,10/29/2024	10:49:54	AM,-100,10.83,92.4,51											
A1,B1,10/29/2024	10:49:33	AM,-96,13.44,87.5,55											
A1,B1,10/29/2024	10:49:06	AM,-100,13.64,88.3,58											
A1,B1,10/29/2024	10:48:40	AM,-99,10.88,61.9,54											
A1,B1,10/29/2024	10:48:13	AM,-101,12.84,93.2,53											
A1,B1,10/29/2024	10:47:43	AM,-101,7.46,31,56											
A1,B1,10/29/2024	10:47:18	AM,-109,5.17,59.8,58											
A1,B1,10/29/2024	10:46:53	AM,-98,13.81,76.6,53											
A1,B1,10/29/2024	10:46:33	AM,-95,13.99,83.5,51											
A1,B1,10/29/2024	10:46:08	AM,-97,13.85,82.4,51											
A1,B1,10/29/2024	10:45:31	AM,-95,13.8,88.3,56											
A1,B1,10/29/2024	10:45:07	AM,-92,14.51,90.9,53											
A8,B8,11/26/2024	4:12:55	PM,-98,14.14,97.6,51											
A8,B8,11/26/2024	4:12:37	PM,-99,14.22,95.5,55											
A8,B8,11/26/2024	4:12:14	PM,-99,13.83,93.1,57											
A8,B7,11/26/2024	4:09:55	PM,-97,11.92,78.1,51											
A8,B7,11/26/2024	4:09:35	PM,-96,13.19,77.1,55											
A8,B6,11/26/2024	4:07:46	PM,-95,16.51,86.7,54											
A8,B5,11/26/2024	4:06:09	PM,-95,12.7,65.6,53											
A8,B4,11/26/2024	4:05:39	PM,-94,19.21,83.9,54											
A8,B4,11/26/2024	4:05:12	PM,-93,17.89,64.5,53											
A8,B3,11/26/2024	4:03:55	PM,-86,24.22,59.1,55											
A8,B3,11/26/2024	4:03:32	PM,-92,20.32,71,53											
A8,B3,11/26/2024	4:03:13	PM,-87,14.34,45.5,52											
A8,B2,11/26/2024	4:01:51	PM,-80,24.68,71.5,49											
A8,B1,11/26/2024	4:00:34	PM,-87,25.64,83.6,52											
A8,B1,11/26/2024	4:00:03	PM,-85,22.45,50.3,70											
A7,B1,11/26/2024	3:59:42	PM,-87,24.37,72.4,54											
A7,B4,11/26/2024	3:54:02	PM,-94,18.26,78.8,58											
A7,B5,11/26/2024	3:53:44	PM,-92,15.61,79.5,55											
A7,B5,11/26/2024	3:53:23	PM,-93,13.6,44.8,56											
A7,B5,11/26/2024	3:52:40	PM,-95,16.35,79.7,53											
A7,B6,11/26/2024	3:52:20	PM,-96,13.88,67.2,49											
A7,B7,11/26/2024	3:50:59	PM,-98,14.12,88.2,53											
A7,B8,11/26/2024	3:48:30	PM,-96,12.02,80.6,49											
A7,B8,11/26/2024	3:48:12	PM,-97,12.01,80.9,52											
A6,B8,11/26/2024	3:46:32	PM,-95,10.39,79.1,53											
A6,B7,11/26/2024	3:45:14	PM,-95,13.32,82.8,57											
A6,B5,11/26/2024	3:42:44	PM,-95,13.17,77.1,49											
A6,B4,11/26/2024	3:41:27	PM,-92,22.36,72.5,47											
A6,B4,11/26/2024	3:41:06	PM,-85,19.73,84.4,50											
A6,B4,11/26/2024	3:40:39	PM,-90,22.47,59.3,52											
A6,B3,11/26/2024	3:39:20	PM,-85,24.53,61,53											
A6,B2,11/26/2024	3:38:59	PM,-86,25.35,81.3,51											
A6,B2,11/26/2024	3:38:36	PM,-81,25.08,78.1,54											
A6,B1,11/26/2024	3:37:13	PM,-87,20.57,54.4,49											
A6,B1,11/26/2024	3:36:52	PM,-87,21.48,55.8,55											
A6,B1,11/26/2024	3:36:30	PM,-89,20.62,61.3,51											
A6,B1,11/26/2024	3:36:09	PM,-89,20.98,50.2,57											
A5,B1,11/26/2024	3:35:42	PM,-89,19.01,76.4,52											
A5,B1,11/26/2024	3:35:20	PM,-88,18.12,77,51											
A5,B1,11/26/2024	3:34:57	PM,-89,17.61,63.7,48											
A5,B2,11/26/2024	3:34:22	PM,-83,22.87,65.4,51											
A5,B3,11/26/2024	3:32:06	PM,-87,19.14,63.3,51											
A5,B4,11/26/2024	3:30:48	PM,-89,18.26,68.5,57											
A5,B5,11/26/2024	3:29:25	PM,-92,16.49,88.1,52											
A5,B5,11/26/2024	3:29:05	PM,-92,19.06,70.9,53											
A5,B5,11/26/2024	3:28:42	PM,-91,22.21,61,63											
A5,B6,11/26/2024	3:27:22	PM,-94,16.89,66.1,49											
A5,B7,11/26/2024	3:26:03	PM,-95,16.41,81.8,51											
A5,B7,11/26/2024	3:25:42	PM,-95,14.07,83.1,50											
A5,B8,11/26/2024	3:25:06	PM,-97,14.65,78.9,47											
A5,B8,11/26/2024	3:24:45	PM,-95,14.07,92.9,53											
A5,B8,11/26/2024	3:24:23	PM,-96,12.67,82.4,56											
A4,B8,11/26/2024	3:23:54	PM,-98,10.81,80.2,53											
A4,B8,11/26/2024	3:23:28	PM,-97,14.35,85,51											
A4,B8,11/26/2024	3:23:07	PM,-98,14.47,83.2,54											
A4,B8,11/26/2024	3:22:45	PM,-96,12.16,67.9,49											
A4,B7,11/26/2024	3:22:23	PM,-99,12.89,86.4,52											
A4,B6,11/26/2024	3:20:47	PM,-96,13.75,74.6,51											
A4,B5,11/26/2024	3:19:19	PM,-93,14.42,78.2,49											
A4,B5,11/26/2024	3:19:01	PM,-97,14.96,80.7,52											
A4,B4,11/26/2024	3:17:43	PM,-94,16,76.7,51											
A4,B4,11/26/2024	3:17:17	PM,-94,14.71,77.9,52											
A4,B4,11/26/2024	3:16:58	PM,-93,15.5,79,54											
A4,B4,11/26/2024	3:16:38	PM,-89,18.53,71.4,47											
A4,B3,11/26/2024	3:16:18	PM,-93,19.58,77.2,54											
A4,B3,11/26/2024	3:15:58	PM,-93,18.72,73.6,49											
A4,B3,11/26/2024	3:15:33	PM,-89,18.46,74.5,51											
A4,B3,11/26/2024	3:15:12	PM,-91,20.02,83.6,57											
A4,B2,11/26/2024	3:14:41	PM,-93,17.49,74,52											
A4,B1,11/26/2024	3:13:24	PM,-86,17.29,59.2,47											
A4,B1,11/26/2024	3:13:03	PM,-86,24.14,71.8,49											
A4,B1,11/26/2024	3:12:31	PM,-89,20.16,62.7,53											
A4,B1,11/26/2024	3:12:10	PM,-89,23.78,61.2,56											
A3,B1,11/26/2024	3:11:34	PM,-89,22.76,52.7,50											
A3,B2,11/26/2024	3:10:15	PM,-85,19.77,61.5,47											
A3,B2,11/26/2024	3:09:55	PM,-90,18.15,58.6,48											
A3,B3,11/26/2024	3:08:26	PM,-92,17.71,72.2,49											
A3,B3,11/26/2024	3:08:06	PM,-93,16.68,85.5,50											
A3,B4,11/26/2024	3:07:29	PM,-92,16.33,80.3,53											
A3,B4,11/26/2024	3:07:09	PM,-94,14.3,86.6,51											
A3,B4,11/26/2024	3:06:46	PM,-92,13.95,68,54											
A3,B5,11/26/2024	3:06:09	PM,-92,12.84,81.9,48											
A3,B5,11/26/2024	3:05:38	PM,-93,14.79,56.7,54											
A3,B5,11/26/2024	3:05:18	PM,-92,14.3,87.3,51											
A3,B6,11/26/2024	3:04:56	PM,-93,13.65,77.7,53											
A3,B6,11/26/2024	3:04:33	PM,-93,11.78,70.4,58											
A3,B6,11/26/2024	3:04:07	PM,-94,12.32,72.2,53											
A3,B7,11/26/2024	3:03:44	PM,-94,12.65,71.8,45											
A3,B7,11/26/2024	3:03:21	PM,-96,11.85,72.7,56											
A3,B8,11/26/2024	3:02:02	PM,-97,11.87,71.1,51											
A3,B8,11/26/2024	3:01:41	PM,-95,13.21,87.1,45											
A3,B8,11/26/2024	3:01:06	PM,-97,10.78,81.7,44											
A2,B2,11/26/2024	2:51:30	PM,-87,23.44,61.5,55											
A1,B3,11/26/2024	2:44:47	PM,-88,20.84,56.8,52											
A1,B4,11/26/2024	2:44:20	PM,-87,15.78,51.8,49											
A1,B4,11/26/2024	2:44:00	PM,-88,16.4,68,54											
A1,B4,11/26/2024	2:43:39	PM,-90,16.17,55.3,58											
A1,B4,11/26/2024	2:43:13	PM,-89,15.13,52.8,51											
A1,B4,11/26/2024	2:42:52	PM,-93,14.07,70.2,49											
A1,B5,11/26/2024	2:42:30	PM,-94,12.67,80.4,51											
A1,B5,11/26/2024	2:42:02	PM,-92,15.1,68.4,48											
A1,B5,11/26/2024	2:41:40	PM,-93,17.68,70,49											
A1,B5,11/26/2024	2:41:14	PM,-89,9.44,74,56											
A1,B5,11/26/2024	2:40:41	PM,-94,12.43,62.9,53											
A1,B6,11/26/2024	2:40:10	PM,-95,11,73,53											
A1,B7,11/26/2024	2:38:43	PM,-98,13.72,85.6,48											
A1,B7,11/26/2024	2:37:24	PM,-98,8.26,38.6,56											
A1,B7,11/26/2024	2:36:58	PM,-97,11.04,85.7,57											
A1,B8,11/26/2024	2:36:35	PM,-98,14.4,89.5,49											
A1,B8,11/26/2024	2:36:04	PM,-97,10.43,74.8,52											
A1,B8,11/26/2024	2:35:42	PM,-98,11.82,80.3,48											
A1,B8,11/26/2024	2:35:21	PM,-96,14.28,92.7,57											
A1,B8,11/26/2024	2:34:59	PM,-98,10.61,70.5,49											
A1,B8,11/26/2024	2:34:36	PM,-97,12.42,81.9,54											
A1,B8,11/26/2024	2:33:04	PM,-99,14.96,84.9,54											
A1,B8,11/26/2024	2:32:44	PM,-97,13.31,85.9,53											
A1,B8,11/26/2024	2:32:21	PM,-97,11.62,78.5,55											
A1,B8,11/26/2024	2:31:59	PM,-98,8.42,87.6,55											
A1,B8,11/26/2024	2:31:36	PM,-97,8.17,76.5,55											
A1,B8,11/26/2024	2:31:13	PM,-106,4.8,72.7,52											
A1,B8,11/26/2024	2:30:51	PM,-101,10.97,75.5,55											
